ra,dec
322.44746,0.85579
329.68048,0.051631
312.20206,-0.243335
316.68839,-1.140335
316.9081,-1.197667
355.04465,0.096592
359.25165,-0.481091
356.56531,0.125777
326.50316,0.861059
323.58666,-0.188609
334.55388,-0.16765535
352.76582,1.060798
319.7593,0.02921039
325.95525,0.80862643
323.12422,0.638672
350.96287,1.0889948
355.04903,0.68295628
356.12578,0.41936
341.93108,0.855286
312.16455,0.23158016
315.89008,-0.818047
321.96448,0.59221507
335.42892,-0.19911246
328.29708,-1.1805362
317.61531,0.859094
355.40598,-1.003921
332.49305,-0.28517958
324.53841,0.2483
325.08315,0.992621
327.39511,0.227953
311.90122,0.606637
344.24792,0.57824512
333.05615,0.8133
335.04071,0.647443
319.92474,-0.99816346
319.23347,-1.242018
332.33128,0.63607291
312.24102,0.680942
355.82281,0.08901
340.52672,0.106302
323.16785,0.78531
342.97115,-0.29554258
354.99292,0.263382
316.98253,-0.94848806
324.89145,1.153941
350.94666,0.953544
328.08431,-0.847242
324.49854,-0.109773
342.22189,-0.588338
317.56024,0.330597
327.01763,1.1201728
338.54275,0.42409008
312.45566,0.35679546
336.34264,-1.1408938
334.31205,-0.53942986
340.13697,0.979195
328.1523,0.168694
326.28037,-0.245497
352.10629,0.871518
327.58267,-0.321598
335.14481,0.71164584
311.80258,1.066416
341.15935,-0.019512
334.58903,0.15760285
311.54759,0.856566
317.13788,0.040026
320.06463,-0.069099326
335.23705,0.43908605
340.56621,-1.018316
325.78277,0.18761
310.70703,-1.137005
324.04311,0.33948
324.75929,-0.08075
324.9041,-0.34387511
356.02146,-0.13310305
334.80471,0.32482285
317.33444,0.131093
332.31531,0.80700754
357.06336,0.441637
349.31403,0.601635
334.24361,-0.2856995
346.69553,1.047971
332.66207,0.56811268
348.01749,-0.50355209
317.91991,-0.688019
338.68661,0.69293968
348.23538,-1.0067765
341.55713,1.09778
330.63165,-0.46339065
314.93219,1.227094
328.58528,0.320994
316.8984,-1.230628
353.26437,1.1842965
335.02382,-1.1453737
340.81427,-0.362431
325.54303,0.121554
320.21052,0.95859127
322.99351,0.910132
340.45063,-0.36694
336.84426,-0.23899608
335.96575,-0.99380263
323.16552,-0.953214
340.82121,0.330801
357.4721,-0.53611419
328.08474,0.473741
336.83378,-0.75348864
320.2432,0.082950535
311.04761,0.483165
319.34297,0.90827486
335.49518,-0.48870819
320.33051,-0.295983
328.69264,-0.618172
325.08192,0.205791
324.64772,0.755107
320.45607,-1.1637037
324.2345,-0.581365
341.72285,0.245433
340.74741,0.02291
313.51987,0.49057138
309.443,1.01826
341.15511,0.924139
357.84436,-1.174541
335.40985,0.98535011
336.43258,-0.11092108
335.22659,0.590617
335.61456,-0.18661347
341.47426,0.110058
355.79219,0.086646
353.80183,0.96157399
357.07976,0.82665191
353.07521,-0.073552871
321.95566,0.454415
336.30498,0.63439898
331.00436,0.48758
348.37038,-0.85323525
328.74403,-0.5381305
330.66696,0.14649013
324.59697,-0.493169
325.10873,-0.191801
340.86987,-0.40838613
322.7369,0.363714
309.20078,2.3E-05
317.36145,0.63441783
328.17795,-0.82169
336.61411,-0.2439243
312.92881,1.0819699
333.17993,-0.43967574
318.20029,-1.045007
346.65132,1.2405447
334.84659,-0.6356708
316.60388,0.44913855
323.39407,-0.183637
336.05427,1.1078654
318.13088,0.5515065
338.91951,0.56939707
325.25309,0.686496
350.43405,-1.2506371
326.47414,0.51260316
328.34012,-1.147606
321.55591,-1.0001662
318.08456,-0.2869
328.72933,1.086528
332.0129,-0.0042863696
313.76933,0.014024441
332.69433,0.54955253
336.19184,-0.19973303
309.26901,-0.54169887
355.67393,0.959006
324.41768,-0.114484
330.48597,1.1987092
310.02584,-0.56733
323.3844,0.36916404
311.1051,-0.373669
334.30438,-0.20274845
354.83337,-0.85555
311.99011,-0.050971
324.93279,0.812685
318.16188,-0.75112524
345.98275,-0.86135562
316.44296,-0.837967
358.82119,0.31850388
324.29342,-0.296437
323.94126,0.65562
334.29944,-0.48757012
356.9594,0.156966
311.69046,-1.120197
342.60542,-0.52709098
322.64641,0.12531669
323.45995,-0.535143
352.85256,0.41344933
309.89624,-0.88464698
328.87015,-0.250001
348.91381,0.25888457
328.73253,-0.71645466
318.92313,-0.88488497
340.87445,-0.391671
332.86717,0.81462634
309.72339,-0.8679001
331.91757,-0.209505
336.6238,-0.80201271
321.12714,-0.910845
327.81769,-0.528485
336.36336,-0.30151405
355.34381,0.879426
327.65033,1.091123
335.23658,-0.012409125
341.88716,0.48493528
336.19577,0.86580031
318.22114,0.145005
335.96615,-0.46709101
326.2495,0.042824
345.40903,0.83364791
320.9415,-0.94630063
324.79703,-0.720252
328.10551,0.006306
336.41232,-1.0348202
316.00644,0.00767
356.45261,0.902625
329.90408,1.06377
337.08516,-0.0054326916
354.32002,0.72716362
354.0254,-1.0691925
317.85687,0.31049114
324.31714,-0.183641
354.20801,-0.498526
329.86472,0.42006218
317.81009,0.608156
334.0843,1.0518752
329.89374,0.94799086
323.44281,-0.696527
325.25357,-0.893072
328.08905,1.212803
311.95914,1.0815489
327.70533,0.33657312
322.37687,0.827913
340.53043,0.774491
328.66391,-0.426628
328.73949,1.233012
316.91694,0.803496
340.95944,0.730887
336.57226,1.1124848
353.23129,0.17682
326.06627,-0.47669237
356.86266,-0.273878
318.2692,0.21378087
356.06559,1.069815
309.80228,1.150646
335.05776,1.2320791
327.80854,1.026644
336.89319,-0.75937109
325.39117,-1.024801
322.89738,0.378503
356.28489,-1.055555
350.76175,-1.0934566
325.63708,0.97427399
352.57213,-0.63890516
351.93188,0.15233187
351.45375,-0.379302
355.895,1.181276
350.67124,1.0361372
311.09205,-0.41113185
353.12958,0.58101
349.78474,0.84601284
317.4881,-0.615147
326.56933,0.969215
315.25055,-1.0848945
356.1432,-0.356037
327.2263,0.037832748
317.96448,0.414743
317.64742,0.14389
356.58271,1.005089
320.82804,0.61348877
328.11445,-0.90302426
355.40522,0.023100096
359.32879,0.83191366
317.15217,-0.94391
351.7943,-1.1399846
350.22304,0.058929405
344.57358,0.23995337
329.72406,-0.907822
354.61128,-0.4052338
311.16625,-1.2381964
335.55153,1.1558721
343.99653,-0.33348126
340.78108,0.840629
321.46628,0.82645239
310.21825,-1.070914
311.42843,0.944328
311.26119,-0.375265
318.93277,0.43677791
330.44538,-0.47675022
349.16501,0.95595268
344.24314,-0.38681184
